Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
HBRH11,Híbrido,91.90,18,0.61,0.67,2.19,4.14,8.97,0.73,0.69,0.75,1.39,3.17,3.86,4.60,313796960.50,113.19,0.81,0.56,0.00,0.56,0.56,,,3
VOTS11,Títulos e Val Mob,81.36,102,1.10,1.35,3.95,6.83,14.96,1.32,1.14,1.25,2.61,-4.28,-2.99,-1.76,7781125.01,93.10,0.87,1.16,0.00,1.16,1.16,,,0
HUSI11,Hospital,1137.61,3,10.22,0.90,2.12,4.39,0.00,0.71,0.73,0.00,1.54,-0.65,0.25,0.89,115662727.67,993.99,1.14,0.74,0.00,0.74,0.74,,,0
BBRC11,Outros,93.50,870,0.99,1.05,3.07,6.08,11.93,1.02,1.01,0.99,2.08,-0.85,0.19,1.23,171457603.60,107.83,0.87,0.92,0.00,0.92,0.92,5.37,1.08,20
HGAG11,,36.00,1093,0.47,1.62,297.68,300.36,0.00,99.23,50.06,0.00,3.31,9.21,10.98,12.85,,,,,,,,,,0
VTLT11,Logística,89.83,707,0.88,1.00,2.83,5.43,10.80,0.94,0.90,0.90,1.95,-5.27,-4.32,-3.42,21326240.91,100.72,0.89,0.87,0.00,0.87,0.87,0.00,0.00,1
BCRI11,Títulos e Val Mob,87.19,26658,0.80,0.84,2.94,6.02,13.58,0.98,1.00,1.13,1.85,-4.49,-3.69,-2.72,628182442.20,100.38,0.87,1.00,0.00,1.00,1.00,,,0
PATC11,Lajes Corporativas,67.00,1452,0.22,0.33,4.90,14.31,18.15,1.63,2.38,1.51,0.65,-1.46,-1.14,-0.82,26618976.86,76.50,0.88,0.29,0.00,0.29,0.29,21.90,18.90,6
APTO11,Híbrido,8.29,17692,0.10,1.23,3.51,6.74,13.86,1.17,1.12,1.15,2.38,-6.44,-5.29,-4.20,39933777.14,9.95,0.83,1.00,0.00,1.00,1.00,,,0
HSLG11,Logística,76.57,15709,0.72,0.89,2.55,4.81,9.28,0.85,0.80,0.77,1.76,0.81,1.71,2.59,1327747793.11,104.88,0.73,0.67,0.00,0.67,0.67,1.10,,5
LSAG11,,105.20,324,1.48,1.39,3.58,5.06,0.00,1.19,0.84,0.00,2.50,-0.58,0.81,1.93,,,,,,,,,,0
NEWU11,Lajes Corporativas,63.50,90,0.10,0.16,0.61,0.85,1.55,0.20,0.14,0.13,0.39,41.55,41.78,42.10,5145127.14,68.79,0.92,0.15,0.00,0.15,0.15,63.20,,3
